Id;ActivityHour;Date;Hour;TotalIntensity;AverageIntensity
1503960366;5/09/2016 1:00;5/09/2016 0:00;1:00:00 a. m.;0;0
1503960366;5/09/2016 2:00;5/09/2016 0:00;2:00:00 a. m.;0;0
1503960366;5/09/2016 3:00;5/09/2016 0:00;3:00:00 a. m.;0;0
1503960366;5/09/2016 4:00;5/09/2016 0:00;4:00:00 a. m.;0;0
1503960366;5/09/2016 5:00;5/09/2016 0:00;5:00:00 a. m.;1;0.016667
1503960366;5/09/2016 6:00;5/09/2016 0:00;6:00:00 a. m.;22;0.366667
1503960366;5/09/2016 7:00;5/09/2016 0:00;7:00:00 a. m.;6;0.1
1503960366;5/09/2016 8:00;5/09/2016 0:00;8:00:00 a. m.;3;0.05
1503960366;5/09/2016 9:00;5/09/2016 0:00;9:00:00 a. m.;3;0.05
1503960366;5/09/2016 10:00;5/09/2016 0:00;10:00:00 a. m.;10;0.166667
1503960366;5/09/2016 11:00;5/09/2016 0:00;11:00:00 a. m.;6;0.1
1503960366;5/09/2016 12:00;5/09/2016 0:00;12:00:00 p. m.;12;0.2
1503960366;5/09/2016 13:00;5/09/2016 0:00;1:00:00 p. m.;1;0.016667
1503960366;5/09/2016 14:00;5/09/2016 0:00;2:00:00 p. m.;0;0
1503960366;5/09/2016 15:00;5/09/2016 0:00;3:00:00 p. m.;1;0.016667
1503960366;5/09/2016 16:00;5/09/2016 0:00;4:00:00 p. m.;75;1.25
1503960366;5/09/2016 17:00;5/09/2016 0:00;5:00:00 p. m.;37;0.616667
1503960366;5/09/2016 18:00;5/09/2016 0:00;6:00:00 p. m.;25;0.416667
1503960366;5/09/2016 19:00;5/09/2016 0:00;7:00:00 p. m.;39;0.65
1503960366;5/09/2016 20:00;5/09/2016 0:00;8:00:00 p. m.;43;0.716667
1503960366;5/09/2016 21:00;5/09/2016 0:00;9:00:00 p. m.;73;1.216.667
1503960366;5/09/2016 22:00;5/09/2016 0:00;10:00:00 p. m.;0;0
1503960366;5/09/2016 23:00;5/09/2016 0:00;11:00:00 p. m.;0;0
1503960366;5/10/2016 0:00;5/10/2016 0:00;12:00:00 a. m.;0;0
1503960366;5/10/2016 1:00;5/10/2016 0:00;1:00:00 a. m.;6;0.1
1503960366;5/10/2016 2:00;5/10/2016 0:00;2:00:00 a. m.;0;0
1503960366;5/10/2016 3:00;5/10/2016 0:00;3:00:00 a. m.;0;0
1503960366;5/10/2016 4:00;5/10/2016 0:00;4:00:00 a. m.;0;0
